area,population,sex,income,age
Wong Tai Sin - Wang Tau Hom,Sub-Total,17289,12250,47.6
Wong Tai Sin - Tin Keung,Male,6545,18000,47.3
Wong Tai Sin - Tin Keung,Female,7202,14000,49.8
Wong Tai Sin - Tin Keung,Sub-Total,13747,16500,48.2
Wong Tai Sin - Tsui Chuk and Pang Ching,Male,8744,15500,44.3
Wong Tai Sin - Tsui Chuk and Pang Ching,Female,9431,13000,44.1
Wong Tai Sin - Tsui Chuk and Pang Ching,Sub-Total,18175,15000,44.2
Wong Tai Sin - Chuk Yuen South,Male,7373,13000,46.5
Wong Tai Sin - Chuk Yuen South,Female,8023,10750,47.1
Wong Tai Sin - Chuk Yuen South,Sub-Total,15396,12000,46.8
Wong Tai Sin - Chuk Yuen North,Male,6843,15000,48.1
Wong Tai Sin - Chuk Yuen North,Female,8366,13500,50.4
Wong Tai Sin - Chuk Yuen North,Sub-Total,15209,14250,49.5
Wong Tai Sin - Tsz Wan West,Male,8990,14000,45.9
Wong Tai Sin - Tsz Wan West,Female,11086,11250,43.6
Wong Tai Sin - Tsz Wan West,Sub-Total,20076,12800,44.3
Wong Tai Sin - Ching Oi,Male,10008,15000,41.4
Wong Tai Sin - Ching Oi,Female,10747,12500,43
Wong Tai Sin - Ching Oi,Sub-Total,20755,14000,42.4
Wong Tai Sin - Ching On,Male,10819,13500,41.4
Wong Tai Sin - Ching On,Female,11798,11250,45.2
Wong Tai Sin - Ching On,Sub-Total,22617,12250,43.3
Wong Tai Sin - Tsz Wan East,Male,9922,14700,38.9
Wong Tai Sin - Tsz Wan East,Female,10977,13000,40.1
Wong Tai Sin - Tsz Wan East,Sub-Total,20899,14000,39.5
Wong Tai Sin - King Fu,Male,8520,18000,44.6
Wong Tai Sin - King Fu,Female,10315,13500,45.4
Wong Tai Sin - King Fu,Sub-Total,18835,15500,45.1
Wong Tai Sin - Choi Wan East,Male,6759,20000,41.7
Wong Tai Sin - Choi Wan East,Female,8026,14000,41
Wong Tai Sin - Choi Wan East,Sub-Total,14785,16700,41.3
Wong Tai Sin - Choi Wan South,Male,6048,13500,43.1
Wong Tai Sin - Choi Wan South,Female,6643,11000,45.3
Wong Tai Sin - Choi Wan South,Sub-Total,12691,12500,44.2
Wong Tai Sin - Choi Wan West,Male,6559,13500,45
Wong Tai Sin - Choi Wan West,Female,7121,11250,47.6
Wong Tai Sin - Choi Wan West,Sub-Total,13680,12250,46.7
Wong Tai Sin - Chi Choi,Male,7165,20000,41.7
Wong Tai Sin - Chi Choi,Female,8937,15000,39.2
Wong Tai Sin - Chi Choi,Sub-Total,16102,18000,40.2
Wong Tai Sin - Choi Hung,Male,6744,13000,46.1
Wong Tai Sin - Choi Hung,Female,8318,10500,48.1
Wong Tai Sin - Choi Hung,Sub-Total,15062,12000,47.2
Kwun Tong - Kwun Tong Central,Male,7067,14000,40.5
Kwun Tong - Kwun Tong Central,Female,8486,12000,40.8
Kwun Tong - Kwun Tong Central,Sub-Total,15553,12960,40.7
Kwun Tong - Kowloon Bay,Male,5830,30000,40.1
Kwun Tong - Kowloon Bay,Female,7231,20000,38.4
Kwun Tong - Kowloon Bay,Sub-Total,13061,26550,39.3
Kwun Tong - Kai Yip,Male,6540,15500,44.5
Kwun Tong - Kai Yip,Female,8552,12250,48.4
Kwun Tong - Kai Yip,Sub-Total,15092,14000,47.3
Kwun Tong - Lai Ching,Male,6938,18000,43.9
Kwun Tong - Lai Ching,Female,8300,14000,44.4
Kwun Tong - Lai Ching,Sub-Total,15238,15500,44.3
Kwun Tong - Ping Shek,Male,5999,12800,49
Kwun Tong - Ping Shek,Female,7145,10250,50.6
Kwun Tong - Ping Shek,Sub-Total,13144,11530,50.2
Kwun Tong - Sheung Choi,Male,10671,13000,43.3
Kwun Tong - Sheung Choi,Female,11393,10700,43.7
Kwun Tong - Sheung Choi,Sub-Total,22064,12000,43.5
Kwun Tong - Jordan Valley,Male,9482,13000,42.8
Kwun Tong - Jordan Valley,Female,10809,10000,42.1
Kwun Tong - Jordan Valley,Sub-Total,20291,11750,42.3
Kwun Tong - Shun Tin,Male,8763,13500,46.3
Kwun Tong - Shun Tin,Female,9767,10500,50
Kwun Tong - Shun Tin,Sub-Total,18530,12000,47.9
Kwun Tong - Sheung Shun,Male,8164,22000,41.3
Kwun Tong - Sheung Shun,Female,9833,12500,39.8
Kwun Tong - Sheung Shun,Sub-Total,17997,16640,40.4
Kwun Tong - On Lee,Male,6559,13000,55.7
Kwun Tong - On Lee,Female,7932,10400,55.4
Kwun Tong - On Lee,Sub-Total,14491,12000,55.5
Kwun Tong - Po Tat,Male,10848,13000,37.5
Kwun Tong - Po Tat,Female,11601,10250,42
Kwun Tong - Po Tat,Sub-Total,22449,12000,40.2
Kwun Tong - Sau Mau Ping North,Male,10129,14500,44.3
Kwun Tong - Sau Mau Ping North,Female,10487,10250,45.5
Kwun Tong - Sau Mau Ping North,Sub-Total,20616,12250,44.8
Kwun Tong - Hiu Lai,Male,8037,18300,45.3
Kwun Tong - Hiu Lai,Female,9009,14030,46.4
Kwun Tong - Hiu Lai,Sub-Total,17046,16000,46.1
Kwun Tong - Sau Mau Ping South,Male,7386,13500,41.1
Kwun Tong - Sau Mau Ping South,Female,8029,11000,41.8
Kwun Tong - Sau Mau Ping South,Sub-Total,15415,12000,41.6
Kwun Tong - Sau Mau Ping Central,Male,8127,13500,42.3
Kwun Tong - Sau Mau Ping Central,Female,8852,11580,44.2
Kwun Tong - Sau Mau Ping Central,Sub-Total,16979,12250,43.5
Kwun Tong - Hing Tin,Male,8265,15000,48.7
Kwun Tong - Hing Tin,Female,8871,12000,48.2
Kwun Tong - Hing Tin,Sub-Total,17136,14000,48.5
Kwun Tong - Lam Tin,Male,10364,15000,43
Kwun Tong - Lam Tin,Female,11758,12000,40.9
Kwun Tong - Lam Tin,Sub-Total,22122,13500,42
Kwun Tong - Kwong Tak,Male,8925,14000,48.2
Kwun Tong - Kwong Tak,Female,10025,12000,52.1
Kwun Tong - Kwong Tak,Sub-Total,18950,13000,49.9
Kwun Tong - Ping Tin,Male,8233,13500,44.2
Kwun Tong - Ping Tin,Female,8121,10790,46.1
Kwun Tong - Ping Tin,Sub-Total,16354,12250,45.3
Kwun Tong - Pak Nga,Male,5991,18500,48.7
Kwun Tong - Pak Nga,Female,7027,15000,47.9
Kwun Tong - Pak Nga,Sub-Total,13018,16900,48.2
Kwun Tong - Yau Tong East,Male,10238,15500,40.9
Kwun Tong - Yau Tong East,Female,11042,11250,43.3
Kwun Tong - Yau Tong East,Sub-Total,21280,13650,42.3
Kwun Tong - Yau Lai,Male,9711,13500,40.6
Kwun Tong - Yau Lai,Female,10998,11250,40.2
Kwun Tong - Yau Lai,Sub-Total,20709,12250,40.4
Kwun Tong - Chui Cheung,Male,10406,21250,39
Kwun Tong - Chui Cheung,Female,12857,13000,37.7
Kwun Tong - Chui Cheung,Sub-Total,23263,17000,38.2
Kwun Tong - Yau Tong West,Male,8962,14000,45.8
Kwun Tong - Yau Tong West,Female,10309,11000,44.6
Kwun Tong - Yau Tong West,Sub-Total,19271,12000,45.3
Kwun Tong - Laguna City,Male,11367,37990,41.2
Kwun Tong - Laguna City,Female,14904,17500,39
Kwun Tong - Laguna City,Sub-Total,26271,26000,39.7
Kwun Tong - King Tin,Male,9123,26250,40.2
Kwun Tong - King Tin,Female,11051,16000,40.3
Kwun Tong - King Tin,Sub-Total,20174,21130,40.3
Kwun Tong - Tsui Ping,Male,9137,13000,47.5
Kwun Tong - Tsui Ping,Female,9417,10250,49.7
Kwun Tong - Tsui Ping,Sub-Total,18554,12000,48.1
Kwun Tong - Po Lok,Male,6212,15000,49.3
Kwun Tong - Po Lok,Female,7865,12000,49.3
Kwun Tong - Po Lok,Sub-Total,14077,13000,49.3
Kwun Tong - Yuet Wah,Male,6283,16500,41.3
Kwun Tong - Yuet Wah,Female,7426,12750,41.9
Kwun Tong - Yuet Wah,Sub-Total,13709,15000,41.6
Kwun Tong - Hip Hong,Male,8099,13500,40.4
Kwun Tong - Hip Hong,Female,8740,10250,41.8
Kwun Tong - Hip Hong,Sub-Total,16839,12380,41.3
Kwun Tong - Hong Lok,Male,7231,16000,43.4
Kwun Tong - Hong Lok,Female,8739,15000,42.3
Kwun Tong - Hong Lok,Sub-Total,15970,15000,42.9
Kwun Tong - Ting On,Male,7809,13500,46
Kwun Tong - Ting On,Female,10186,10250,43.6
Kwun Tong - Ting On,Sub-Total,17995,11700,44.5
Kwun Tong - Upper Ngau Tau Kok Estate,Male,7084,13000,51.4
Kwun Tong - Upper Ngau Tau Kok Estate,Female,8120,10250,52.9
Kwun Tong - Upper Ngau Tau Kok Estate,Sub-Total,15204,12000,52.1
Kwun Tong - Lower Ngau Tau Kok Estate,Male,8258,14500,47
Kwun Tong - Lower Ngau Tau Kok Estate,Female,8757,12000,46.4
Kwun Tong - Lower Ngau Tau Kok Estate,Sub-Total,17015,13000,46.6
Kwun Tong - To Tai,Male,7817,21250,36.7
Kwun Tong - To Tai,Female,9243,17730,40.1
Kwun Tong - To Tai,Sub-Total,17060,20000,38.2
Kwun Tong - Lok Wah North,Male,5883,13500,44.5
Kwun Tong - Lok Wah North,Female,6787,10750,50.7
Kwun Tong - Lok Wah North,Sub-Total,12670,12000,48.3
Kwun Tong - Lok Wah South,Male,5991,15000,51.1
Kwun Tong - Lok Wah South,Female,6943,11250,53
Kwun Tong - Lok Wah South,Sub-Total,12934,13300,52.5
Kwai Tsing - Kwai Hing,Male,8045,15500,48.9
Kwai Tsing - Kwai Hing,Female,9960,12000,47.2
Kwai Tsing - Kwai Hing,Sub-Total,18005,14000,47.9
Kwai Tsing - Kwai Shing East Estate,Male,9583,13000,45
Kwai Tsing - Kwai Shing East Estate,Female,10430,10000,46.7
Kwai Tsing - Kwai Shing East Estate,Sub-Total,20013,11250,46
Kwai Tsing - Upper Tai Wo Hau,Male,6522,14500,46.6
Kwai Tsing - Upper Tai Wo Hau,Female,7257,10750,46.8
Kwai Tsing - Upper Tai Wo Hau,Sub-Total,13779,13000,46.7
Kwai Tsing - Lower Tai Wo Hau,Male,5992,13720,43.7
Kwai Tsing - Lower Tai Wo Hau,Female,7469,12000,44.7
Kwai Tsing - Lower Tai Wo Hau,Sub-Total,13461,13000,44.2
Kwai Tsing - Kwai Chung Estate North,Male,9661,12500,38.3
Kwai Tsing - Kwai Chung Estate North,Female,10717,10250,39.2
Kwai Tsing - Kwai Chung Estate North,Sub-Total,20378,11500,38.9
Kwai Tsing - Kwai Chung Estate South,Male,10302,15000,39.9
Kwai Tsing - Kwai Chung Estate South,Female,11427,10530,40.7
Kwai Tsing - Kwai Chung Estate South,Sub-Total,21729,12250,40.5
Kwai Tsing - Shek Yam,Male,10515,13500,42.9
Kwai Tsing - Shek Yam,Female,11881,10800,44.2
Kwai Tsing - Shek Yam,Sub-Total,22396,12250,43.7
Kwai Tsing - On Yam,Male,7519,13080,46.7
Kwai Tsing - On Yam,Female,8808,11260,46.4
Kwai Tsing - On Yam,Sub-Total,16327,12000,46.6
Kwai Tsing - Shek Lei South,Male,9459,13500,45.1
Kwai Tsing - Shek Lei South,Female,10609,10000,47.8
Kwai Tsing - Shek Lei South,Sub-Total,20068,12000,46.6
Kwai Tsing - Shek Lei North,Male,11003,14400,36.1
Kwai Tsing - Shek Lei North,Female,11583,10750,40
Kwai Tsing - Shek Lei North,Sub-Total,22586,12250,38.3
Kwai Tsing - Tai Pak Tin,Male,11979,14500,42.7
Kwai Tsing - Tai Pak Tin,Female,11804,11750,39.8
Kwai Tsing - Tai Pak Tin,Sub-Total,23783,13000,40.8
Kwai Tsing - Kwai Fong,Male,8425,13000,47.3
Kwai Tsing - Kwai Fong,Female,10067,11000,45.4
Kwai Tsing - Kwai Fong,Sub-Total,18492,12000,46.7
Kwai Tsing - Wah Lai,Male,7757,18500,45
Kwai Tsing - Wah Lai,Female,9239,12000,43.7
Kwai Tsing - Wah Lai,Sub-Total,16996,15000,44.5
Kwai Tsing - Lai Wah,Male,7328,17000,41.2
Kwai Tsing - Lai Wah,Female,8859,13000,41.2
Kwai Tsing - Lai Wah,Sub-Total,16187,15000,41.2
Kwai Tsing - Cho Yiu,Male,7314,20000,44.9
Kwai Tsing - Cho Yiu,Female,8768,15000,44
Kwai Tsing - Cho Yiu,Sub-Total,16082,18500,44.3
Kwai Tsing - Hing Fong,Male,10721,15500,42.1
Kwai Tsing - Hing Fong,Female,13613,11500,41.2
Kwai Tsing - Hing Fong,Sub-Total,24334,14000,41.6
Kwai Tsing - Lai King,Male,6528,13000,48.2
Kwai Tsing - Lai King,Female,7457,10000,50
Kwai Tsing - Lai King,Sub-Total,13985,12000,49.1
Kwai Tsing - Kwai Shing West Estate,Male,8666,14500,43.3
Kwai Tsing - Kwai Shing West Estate,Female,9138,11000,44.4
Kwai Tsing - Kwai Shing West Estate,Sub-Total,17804,12250,43.8
Kwai Tsing - On Ho,Male,9534,19500,44.4
Kwai Tsing - On Ho,Female,11071,13500,42
Kwai Tsing - On Ho,Sub-Total,20605,15500,42.9
Kwai Tsing - Wai Ying,Male,8855,28000,43.6
Kwai Tsing - Wai Ying,Female,11045,16000,41.8
Kwai Tsing - Wai Ying,Sub-Total,19900,20000,42.6
Kwai Tsing - Tsing Yi Estate,Male,7073,17500,41.2
Kwai Tsing - Tsing Yi Estate,Female,7851,14000,44
Kwai Tsing - Tsing Yi Estate,Sub-Total,14924,15500,42.3
Kwai Tsing - Greenfield,Male,8012,22500,38.9
Kwai Tsing - Greenfield,Female,10182,17500,37.4
Kwai Tsing - Greenfield,Sub-Total,18194,20000,38
Kwai Tsing - Cheung Ching,Male,9006,15000,45.1
Kwai Tsing - Cheung Ching,Female,9657,12000,44.9
Kwai Tsing - Cheung Ching,Sub-Total,18663,13500,45
Kwai Tsing - Cheung Hong,Male,6455,15000,46
Kwai Tsing - Cheung Hong,Female,7636,12000,48.7
Kwai Tsing - Cheung Hong,Sub-Total,14091,13000,47.3
Kwai Tsing - Shing Hong,Male,7519,14000,44.9
Kwai Tsing - Shing Hong,Female,8404,12000,50
Kwai Tsing - Shing Hong,Sub-Total,15923,12880,48.1
Kwai Tsing - Tsing Yi South,Male,8161,17000,40.9
Kwai Tsing - Tsing Yi South,Female,9166,11500,41.4
Kwai Tsing - Tsing Yi South,Sub-Total,17327,14000,41.2
Kwai Tsing - Cheung Hang,Male,7132,13500,43.6
Kwai Tsing - Cheung Hang,Female,6836,11000,46.5
Kwai Tsing - Cheung Hang,Sub-Total,13968,12250,45.5
Kwai Tsing - Ching Fat,Male,8192,15000,48.2
Kwai Tsing - Ching Fat,Female,9469,13000,49.1
Kwai Tsing - Ching Fat,Sub-Total,17661,14000,48.5
Kwai Tsing - Cheung On,Male,6207,15000,43.2
Kwai Tsing - Cheung On,Female,6704,12000,49.9
Kwai Tsing - Cheung On,Sub-Total,12911,14000,46.8
Tsuen Wan - Tak Wah,Male,10755,15000,35.9
Tsuen Wan - Tak Wah,Female,11693,10800,39.7
Tsuen Wan - Tak Wah,Sub-Total,22448,13000,38.6
Tsuen Wan - Yeung Uk Road,Male,11560,15000,38.6
Tsuen Wan - Yeung Uk Road,Female,12436,12000,39.5
Tsuen Wan - Yeung Uk Road,Sub-Total,23996,14000,39.4
Tsuen Wan - Hoi Bun,Male,9227,21250,43.9
Tsuen Wan - Hoi Bun,Female,10728,15000,43.2
Tsuen Wan - Hoi Bun,Sub-Total,19955,18500,43.5
Tsuen Wan - Clague Garden,Male,8289,12750,41.3
Tsuen Wan - Clague Garden,Female,9005,10000,43
Tsuen Wan - Clague Garden,Sub-Total,17294,11250,42.5
Tsuen Wan - Fuk Loi,Male,6533,14200,45.6
Tsuen Wan - Fuk Loi,Female,8196,10250,46.5
Tsuen Wan - Fuk Loi,Sub-Total,14729,12050,46.1
Tsuen Wan - Discovery Park,Male,7733,23750,43.4
Tsuen Wan - Discovery Park,Female,9131,15000,41.9
Tsuen Wan - Discovery Park,Sub-Total,16864,20000,42.4
Tsuen Wan - Tsuen Wan Centre,Male,7345,18000,40.8
Tsuen Wan - Tsuen Wan Centre,Female,8213,15000,43.2
Tsuen Wan - Tsuen Wan Centre,Sub-Total,15558,16000,42
Tsuen Wan - Allway,Male,9440,21250,46.5
Tsuen Wan - Allway,Female,10951,13500,44.5
Tsuen Wan - Allway,Sub-Total,20391,17000,45.2
Tsuen Wan - Lai To,Male,8743,24000,44.6
Tsuen Wan - Lai To,Female,10565,15500,43
Tsuen Wan - Lai To,Sub-Total,19308,20000,43.6
Tsuen Wan - Ting Sham,Male,8354,27420,43.5
Tsuen Wan - Ting Sham,Female,10219,15500,41.3
Tsuen Wan - Ting Sham,Sub-Total,18573,20000,42.1
Tsuen Wan - Tsuen Wan West,Male,8841,29000,43.4
Tsuen Wan - Tsuen Wan West,Female,10937,17000,40.7
Tsuen Wan - Tsuen Wan West,Sub-Total,19778,21000,41.7
Tsuen Wan - Tsuen Wan Rural,Male,8983,25000,44.8
Tsuen Wan - Tsuen Wan Rural,Female,10704,15000,42.7
Tsuen Wan - Tsuen Wan Rural,Sub-Total,19687,20700,43.4
Tsuen Wan - Ma Wan,Male,6637,31250,41.6
Tsuen Wan - Ma Wan,Female,8375,18800,41.2
Tsuen Wan - Ma Wan,Sub-Total,15012,25000,41.3
Tsuen Wan - Luk Yeung,Male,6138,21250,46.2
Tsuen Wan - Luk Yeung,Female,8441,16500,45.3
Tsuen Wan - Luk Yeung,Sub-Total,14579,19000,45.5
Tsuen Wan - Lei Muk Shue East,Male,7618,15000,44.9
Tsuen Wan - Lei Muk Shue East,Female,9792,11000,43.8
Tsuen Wan - Lei Muk Shue East,Sub-Total,17410,13000,44.2
Tsuen Wan - Lei Muk Shue West,Male,8263,13000,46.9
Tsuen Wan - Lei Muk Shue West,Female,9174,11150,46.5
Tsuen Wan - Lei Muk Shue West,Sub-Total,17437,12000,46.7
Tsuen Wan - Shek Wai Kok,Male,6430,13000,48.9
Tsuen Wan - Shek Wai Kok,Female,6888,10250,53.4
Tsuen Wan - Shek Wai Kok,Sub-Total,13318,12000,51.2
Tsuen Wan - Cheung Shek,Male,6052,13000,47.5
Tsuen Wan - Cheung Shek,Female,6527,11250,50.9
Tsuen Wan - Cheung Shek,Sub-Total,12579,12250,49.3
Tuen Mun - Tuen Mun Town Centre,Male,10021,21250,39.8
Tuen Mun - Tuen Mun Town Centre,Female,11608,16000,39.5
Tuen Mun - Tuen Mun Town Centre,Sub-Total,21629,19900,39.7
Tuen Mun - Siu Chi,Male,9179,18000,42.7
Tuen Mun - Siu Chi,Female,10782,12300,42
Tuen Mun - Siu Chi,Sub-Total,19961,15000,42.4
Tuen Mun - Siu Tsui,Male,8975,18200,44.4
Tuen Mun - Siu Tsui,Female,9821,14000,43.9
Tuen Mun - Siu Tsui,Sub-Total,18796,15200,44.1
Tuen Mun - On Ting,Male,7382,15000,50
Tuen Mun - On Ting,Female,8883,10750,48.1
Tuen Mun - On Ting,Sub-Total,16265,12500,48.7
Tuen Mun - Yau Oi South,Male,7191,13500,45.4
Tuen Mun - Yau Oi South,Female,7953,10200,48.6
Tuen Mun - Yau Oi South,Sub-Total,15144,12000,47
Tuen Mun - Yau Oi North,Male,7091,15000,41.1
Tuen Mun - Yau Oi North,Female,8084,12000,40.1
Tuen Mun - Yau Oi North,Sub-Total,15175,13900,40.5
Tuen Mun - Tsui Hing,Male,8966,20000,41.6
Tuen Mun - Tsui Hing,Female,10128,15000,40.6
Tuen Mun - Tsui Hing,Sub-Total,19094,18000,40.9
Tuen Mun - Shan King,Male,7717,14000,44.6
Tuen Mun - Shan King,Female,9125,11000,45.6
Tuen Mun - Shan King,Sub-Total,16842,12250,45.2
Tuen Mun - King Hing,Male,6788,13000,48.4
Tuen Mun - King Hing,Female,7893,10340,50.3
Tuen Mun - King Hing,Sub-Total,14681,12000,49.6
Tuen Mun - Hing Tsak,Male,7267,15000,46.4
Tuen Mun - Hing Tsak,Female,7920,11250,49.6
Tuen Mun - Hing Tsak,Sub-Total,15187,13000,48.8
Tuen Mun - San Hui,Male,7966,15000,45.8
Tuen Mun - San Hui,Female,11511,10920,45.9
Tuen Mun - San Hui,Sub-Total,19477,13000,45.9
Tuen Mun - Sam Shing,Male,10175,21250,44.8
Tuen Mun - Sam Shing,Female,11377,10500,41.9
Tuen Mun - Sam Shing,Sub-Total,21552,17190,43
Tuen Mun - Hanford,Male,9114,27000,45.3
Tuen Mun - Hanford,Female,11770,14000,40.8
Tuen Mun - Hanford,Sub-Total,20884,20000,42.3
Tuen Mun - Fu Sun,Male,9055,18000,42.9
Tuen Mun - Fu Sun,Female,9913,13000,42.2
Tuen Mun - Fu Sun,Sub-Total,18968,15750,42.4
Tuen Mun - Yuet Wu,Male,6165,18000,47.1
Tuen Mun - Yuet Wu,Female,6758,13000,45.2
Tuen Mun - Yuet Wu,Sub-Total,12923,15500,45.6
Tuen Mun - Siu Hei,Male,5947,20000,45.1
Tuen Mun - Siu Hei,Female,6713,15000,42
Tuen Mun - Siu Hei,Sub-Total,12660,17500,43.3
Tuen Mun - Wu King,Male,6496,13000,40.5
Tuen Mun - Wu King,Female,7184,10000,41.3
Tuen Mun - Wu King,Sub-Total,13680,12000,40.9
Tuen Mun - Butterfly,Male,7456,14500,50.3
Tuen Mun - Butterfly,Female,8921,10000,51.5
Tuen Mun - Butterfly,Sub-Total,16377,12000,50.9
Tuen Mun - Lok Tsui,Male,6609,20000,43.1
Tuen Mun - Lok Tsui,Female,7998,15000,41.6
Tuen Mun - Lok Tsui,Sub-Total,14607,18000,42.3
Tuen Mun - Lung Mun,Male,7751,15480,44.4
Tuen Mun - Lung Mun,Female,9045,12000,41.3
Tuen Mun - Lung Mun,Sub-Total,16796,14500,42.7
Tuen Mun - San King,Male,6658,15000,45
Tuen Mun - San King,Female,7013,12000,47.6
Tuen Mun - San King,Sub-Total,13671,13250,46.9
Tuen Mun - Leung King,Male,6290,14000,45.8
Tuen Mun - Leung King,Female,6534,11250,45
Tuen Mun - Leung King,Sub-Total,12824,12300,45.3
Tuen Mun - Tin King,Male,7493,15000,45.7
Tuen Mun - Tin King,Female,7760,11570,48.1
Tuen Mun - Tin King,Sub-Total,15253,13500,47.3
Tuen Mun - Po Tin,Male,8973,14000,48
Tuen Mun - Po Tin,Female,8727,11250,43.2
Tuen Mun - Po Tin,Sub-Total,17700,13000,45.4
Tuen Mun - Kin Sang,Male,7092,15500,41.9
Tuen Mun - Kin Sang,Female,8356,12750,40.8
Tuen Mun - Kin Sang,Sub-Total,15448,15000,41.3
Tuen Mun - Siu Hong,Male,6796,15600,49.8
Tuen Mun - Siu Hong,Female,8503,13000,52.3
Tuen Mun - Siu Hong,Sub-Total,15299,15000,50.9
Tuen Mun - Prime View,Male,9496,20000,39.4
Tuen Mun - Prime View,Female,10079,16000,39.3
Tuen Mun - Prime View,Sub-Total,19575,18000,39.4
Tuen Mun - Fu Tai,Male,8877,14500,41.2
Tuen Mun - Fu Tai,Female,10234,11970,39.5
Tuen Mun - Fu Tai,Sub-Total,19111,13000,40
Tuen Mun - Tuen Mun Rural,Male,9189,18000,43.1
Tuen Mun - Tuen Mun Rural,Female,10531,14500,41
Tuen Mun - Tuen Mun Rural,Sub-Total,19720,16000,41.9
Yuen Long - Fung Nin,Male,8960,15500,42.8
Yuen Long - Fung Nin,Female,10130,11750,46.2
Yuen Long - Fung Nin,Sub-Total,19090,14000,44.7
Yuen Long - Shui Pin,Male,9243,16500,43.2
Yuen Long - Shui Pin,Female,11278,12500,44.5
Yuen Long - Shui Pin,Sub-Total,20521,15000,44
Yuen Long - Nam Ping,Male,7128,14040,43.6
Yuen Long - Nam Ping,Female,8641,11000,46.1
Yuen Long - Nam Ping,Sub-Total,15769,12000,45.7
Yuen Long - Pek Long,Male,7737,15500,41.6
Yuen Long - Pek Long,Female,8778,12000,42.1
Yuen Long - Pek Long,Sub-Total,16515,14700,41.9
Yuen Long - Yuen Long Centre,Male,8235,15000,43.7
Yuen Long - Yuen Long Centre,Female,8992,11000,40.8
Yuen Long - Yuen Long Centre,Sub-Total,17227,13500,42.5
Yuen Long - Yuen Lung,Male,6526,30000,40.8
Yuen Long - Yuen Lung,Female,8390,17000,38.8
Yuen Long - Yuen Lung,Sub-Total,14916,21250,39.5
Yuen Long - Fung Cheung,Male,7690,18500,39.7
Yuen Long - Fung Cheung,Female,8726,15000,42.8
Yuen Long - Fung Cheung,Sub-Total,16416,16000,41.5
Yuen Long - Shap Pat Heung East,Male,6906,17000,42.9
Yuen Long - Shap Pat Heung East,Female,8778,12250,39.7
Yuen Long - Shap Pat Heung East,Sub-Total,15684,15000,40.7
Yuen Long - Shap Pat Heung Central,Male,9737,26000,38.1
Yuen Long - Shap Pat Heung Central,Female,11722,16000,37.1
Yuen Long - Shap Pat Heung Central,Sub-Total,21459,21000,37.5
Yuen Long - Shap Pat Heung West,Male,9716,17500,43.3
Yuen Long - Shap Pat Heung West,Female,10796,12000,40.1
Yuen Long - Shap Pat Heung West,Sub-Total,20512,15000,41.3
Yuen Long - Ping Shan South,Male,11848,16000,40.9
Yuen Long - Ping Shan South,Female,13495,12000,39.4
Yuen Long - Ping Shan South,Sub-Total,25343,14200,40.2
Yuen Long - Ping Shan Central,Male,6580,18000,38.5
Yuen Long - Ping Shan Central,Female,7395,12360,39.2
Yuen Long - Ping Shan Central,Sub-Total,13975,16000,38.8
Yuen Long - Ping Shan North,Male,6239,20000,44.2
Yuen Long - Ping Shan North,Female,7100,13500,41.4
Yuen Long - Ping Shan North,Sub-Total,13339,17000,42.8
Yuen Long - Ha Tsuen,Male,7257,16000,45.1
Yuen Long - Ha Tsuen,Female,8009,11000,43.2
Yuen Long - Ha Tsuen,Sub-Total,15266,15000,44
Yuen Long - Tin Shing,Male,9705,17000,43.3
Yuen Long - Tin Shing,Female,11146,13000,43.6
Yuen Long - Tin Shing,Sub-Total,20851,15000,43.5
Yuen Long - Shui Oi,Male,8640,14000,41.7
Yuen Long - Shui Oi,Female,9080,11570,47.8
Yuen Long - Shui Oi,Sub-Total,17720,12480,46.2
Yuen Long - Shui Wah,Male,7394,14000,37.5
Yuen Long - Shui Wah,Female,7739,11250,45
Yuen Long - Shui Wah,Sub-Total,15133,12250,40.7
Yuen Long - Chung Wah,Male,8272,15000,36.8
Yuen Long - Chung Wah,Female,8532,12000,43.2
Yuen Long - Chung Wah,Sub-Total,16804,13500,39.3
Yuen Long - Yuet Yan,Male,9180,13000,48.7
Yuen Long - Yuet Yan,Female,9669,10250,46.6
Yuen Long - Yuet Yan,Sub-Total,18849,12000,47.3
Yuen Long - Fu Yan,Male,8893,16000,42.1
Yuen Long - Fu Yan,Female,10545,12000,39.8
Yuen Long - Fu Yan,Sub-Total,19438,15000,40.7
Yuen Long - Yat Chak,Male,9986,14000,35.4
Yuen Long - Yat Chak,Female,10608,10750,39.8
Yuen Long - Yat Chak,Sub-Total,20594,12000,38.4
Yuen Long - Tin Heng,Male,9833,12750,31.5
Yuen Long - Tin Heng,Female,10970,10250,37.1
Yuen Long - Tin Heng,Sub-Total,20803,11750,33.9
Yuen Long - Wang Yat,Male,9090,14000,34.9
Yuen Long - Wang Yat,Female,9572,10250,40.5
Yuen Long - Wang Yat,Sub-Total,18662,12000,38.3
Yuen Long - Ching King,Male,8962,15000,41.2
Yuen Long - Ching King,Female,10046,10250,40.6
Yuen Long - Ching King,Sub-Total,19008,12000,40.8
Yuen Long - Kingswood North,Male,10494,21250,45.9
Yuen Long - Kingswood North,Female,12630,15000,44.9
Yuen Long - Kingswood North,Sub-Total,23124,20000,45.3
Yuen Long - Tsz Yau,Male,7170,15000,45.1
Yuen Long - Tsz Yau,Female,7530,10750,47.7
Yuen Long - Tsz Yau,Sub-Total,14700,13000,46.9
