area,population,sex,income,age
Eastern - A Kung Ngam,Male,8975,16500,43.1
Eastern - A Kung Ngam,Female,9500,12250,44.5
Eastern - A Kung Ngam,Sub-Total,18475,15000,44.4
Eastern - Heng Fa Chuen,Male,8270,36250,44.3
Eastern - Heng Fa Chuen,Female,10849,15000,42.3
Eastern - Heng Fa Chuen,Sub-Total,19119,21800,43.1
Eastern - Tsui Wan,Male,5567,15000,45
Eastern - Tsui Wan,Female,6762,12000,43
Eastern - Tsui Wan,Sub-Total,12329,13000,43.8
Eastern - Yan Lam,Male,7212,28250,43.9
Eastern - Yan Lam,Female,9325,15000,41.6
Eastern - Yan Lam,Sub-Total,16537,20000,42.3
Eastern - Siu Sai Wan,Male,6015,13000,43.6
Eastern - Siu Sai Wan,Female,7017,11500,45.4
Eastern - Siu Sai Wan,Sub-Total,13032,12250,44.6
Eastern - King Yee,Male,7384,18000,49.8
Eastern - King Yee,Female,7383,15000,49.4
Eastern - King Yee,Sub-Total,14767,16500,49.5
Eastern - Wan Tsui,Male,7278,13000,42.8
Eastern - Wan Tsui,Female,7797,10250,45.2
Eastern - Wan Tsui,Sub-Total,15075,12000,44.2
Eastern - Fei Tsui,Male,6966,13500,47.4
Eastern - Fei Tsui,Female,7975,10000,48.9
Eastern - Fei Tsui,Sub-Total,14941,12000,48.2
Eastern - Mount Parker,Male,5926,15000,41.7
Eastern - Mount Parker,Female,7483,10130,41.6
Eastern - Mount Parker,Sub-Total,13409,13000,41.7
Eastern - Braemar Hill,Male,6796,50000,45.1
Eastern - Braemar Hill,Female,10527,6000,40.3
Eastern - Braemar Hill,Sub-Total,17323,20000,41.7
Eastern - Fortress Hill,Male,7083,28000,42.6
Eastern - Fortress Hill,Female,9264,14140,43.8
Eastern - Fortress Hill,Sub-Total,16347,20000,43.3
Eastern - City Garden,Male,7292,22000,42.6
Eastern - City Garden,Female,9934,9680,40.9
Eastern - City Garden,Sub-Total,17226,15000,41.4
Eastern - Provident,Male,9472,16200,45.9
Eastern - Provident,Female,12272,10000,47.5
Eastern - Provident,Sub-Total,21744,13900,47
Eastern - Fort Street,Male,6824,20000,40.9
Eastern - Fort Street,Female,9405,12000,37.8
Eastern - Fort Street,Sub-Total,16229,15500,39
Eastern - Kam Ping,Male,7455,17500,41.5
Eastern - Kam Ping,Female,9521,10000,41.3
Eastern - Kam Ping,Sub-Total,16976,13500,41.4
Eastern - Tanner,Male,6437,22000,43.5
Eastern - Tanner,Female,8101,11000,43.1
Eastern - Tanner,Sub-Total,14538,17500,43.3
Eastern - Healthy Village,Male,5729,17000,44.7
Eastern - Healthy Village,Female,7817,11000,47.2
Eastern - Healthy Village,Sub-Total,13546,14000,46
Eastern - Quarry Bay,Male,6026,15000,44.2
Eastern - Quarry Bay,Female,7179,14000,42.9
Eastern - Quarry Bay,Sub-Total,13205,15000,43.5
Eastern - Nam Fung,Male,6185,23000,42.2
Eastern - Nam Fung,Female,8178,15000,43.1
Eastern - Nam Fung,Sub-Total,14363,20000,42.7
Eastern - Kornhill,Male,6852,38000,43.7
Eastern - Kornhill,Female,8560,13000,42.3
Eastern - Kornhill,Sub-Total,15412,25000,42.8
Eastern - Kornhill Garden,Male,6067,26000,43.5
Eastern - Kornhill Garden,Female,7903,15000,43.6
Eastern - Kornhill Garden,Sub-Total,13970,20000,43.6
Eastern - Hing Tung,Male,8625,15500,49.2
Eastern - Hing Tung,Female,9759,13000,48.3
Eastern - Hing Tung,Sub-Total,18384,15000,48.9
Eastern - Sai Wan Ho,Male,9618,20000,41.7
Eastern - Sai Wan Ho,Female,10543,13000,41.9
Eastern - Sai Wan Ho,Sub-Total,20161,16000,41.8
Eastern - Lower Yiu Tung,Male,9264,15000,43.8
Eastern - Lower Yiu Tung,Female,9930,11000,46
Eastern - Lower Yiu Tung,Sub-Total,19194,12800,45.2
Eastern - Upper Yiu Tung,Male,5827,13000,50
Eastern - Upper Yiu Tung,Female,6340,11730,49.1
Eastern - Upper Yiu Tung,Sub-Total,12167,12100,49.4
Eastern - Hing Man,Male,6710,13000,46.3
Eastern - Hing Man,Female,7895,11000,47.5
Eastern - Hing Man,Sub-Total,14605,12000,46.8
Eastern - Lok Hong,Male,5517,20000,46
Eastern - Lok Hong,Female,6150,14500,45.8
Eastern - Lok Hong,Sub-Total,11667,17500,45.9
Eastern - Tsui Tak,Male,5803,20000,39.8
Eastern - Tsui Tak,Female,7024,15500,39.1
Eastern - Tsui Tak,Sub-Total,12827,19000,39.5
Eastern - Yue Wan,Male,6526,13200,44.9
Eastern - Yue Wan,Female,8205,11000,43.6
Eastern - Yue Wan,Sub-Total,14731,12250,44
Eastern - Kai Hiu,Male,6614,14000,44.5
Eastern - Kai Hiu,Female,6913,11200,46.8
Eastern - Kai Hiu,Sub-Total,13527,13000,45.9
Southern - Aberdeen,Male,9161,17500,42
Southern - Aberdeen,Female,10652,13500,40.8
Southern - Aberdeen,Sub-Total,19813,15500,41.5
Southern - Ap Lei Chau Estate,Male,5998,12250,48.2
Southern - Ap Lei Chau Estate,Female,8622,11250,59.5
Southern - Ap Lei Chau Estate,Sub-Total,14620,12000,53.1
Southern - Ap Lei Chau North,Male,5997,20000,40.9
Southern - Ap Lei Chau North,Female,7100,15000,38.6
Southern - Ap Lei Chau North,Sub-Total,13097,18000,39.7
Southern - Lei Tung I,Male,7619,16000,42.9
Southern - Lei Tung I,Female,8206,12250,44.1
Southern - Lei Tung I,Sub-Total,15825,15000,43.3
Southern - Lei Tung II,Male,5408,15000,49.7
Southern - Lei Tung II,Female,6345,11000,50.7
Southern - Lei Tung II,Sub-Total,11753,13000,50.1
Southern - South Horizons East,Male,6842,45000,41.8
Southern - South Horizons East,Female,8713,19160,40.6
Southern - South Horizons East,Sub-Total,15555,28000,41.1
Southern - South Horizons West,Male,7054,36250,43.6
Southern - South Horizons West,Female,8848,15000,41
Southern - South Horizons West,Sub-Total,15902,25000,42.1
Southern - Wah Kwai,Male,6200,14500,50.2
Southern - Wah Kwai,Female,7432,12000,49.1
Southern - Wah Kwai,Sub-Total,13632,13000,49.5
Southern - Wah Fu South,Male,6462,13000,46.8
Southern - Wah Fu South,Female,7163,10000,48.2
Southern - Wah Fu South,Sub-Total,13625,11750,47.7
Southern - Wah Fu North,Male,6703,13200,43.8
Southern - Wah Fu North,Female,7481,10000,46.7
Southern - Wah Fu North,Sub-Total,14184,11250,45.6
Southern - Pokfulam,Male,7989,85000,40.7
Southern - Pokfulam,Female,12227,5600,39.4
Southern - Pokfulam,Sub-Total,20216,24000,39.8
Southern - Chi Fu,Male,6885,25000,45.4
Southern - Chi Fu,Female,8899,13980,42.7
Southern - Chi Fu,Sub-Total,15784,20000,43.7
Southern - Tin Wan,Male,8345,15000,42.5
Southern - Tin Wan,Female,9115,11000,43.9
Southern - Tin Wan,Sub-Total,17460,13000,43.3
Southern - Shek Yue,Male,7523,13000,49.6
Southern - Shek Yue,Female,8551,10500,50.7
Southern - Shek Yue,Sub-Total,16074,12000,50.2
Southern - Wong Chuk Hang,Male,8853,20000,48.5
Southern - Wong Chuk Hang,Female,10036,12580,48.7
Southern - Wong Chuk Hang,Sub-Total,18889,15610,48.6
Southern - Bays Area,Male,7436,60000,42.3
Southern - Bays Area,Female,11078,4500,39.7
Southern - Bays Area,Sub-Total,18514,9000,41
Southern - Stanley and Shek O,Male,9515,23750,42.7
Southern - Stanley and Shek O,Female,10536,10000,40.5
Southern - Stanley and Shek O,Sub-Total,20051,15000,41.4
Yau Tsim Mong - Tsim Sha Tsui West,Male,9197,57000,46
Yau Tsim Mong - Tsim Sha Tsui West,Female,12234,15500,40.9
Yau Tsim Mong - Tsim Sha Tsui West,Sub-Total,21431,30000,42.6
Yau Tsim Mong - Jordan South,Male,8521,17370,45.7
Yau Tsim Mong - Jordan South,Female,10157,10000,43.6
Yau Tsim Mong - Jordan South,Sub-Total,18678,14000,44.6
Yau Tsim Mong - Jordan West,Male,8639,14400,48.6
Yau Tsim Mong - Jordan West,Female,9621,10800,47.2
Yau Tsim Mong - Jordan West,Sub-Total,18260,12600,47.9
Yau Tsim Mong - Yau Ma Tei South,Male,10382,15000,42.1
Yau Tsim Mong - Yau Ma Tei South,Female,10759,12000,43.4
Yau Tsim Mong - Yau Ma Tei South,Sub-Total,21141,14000,42.8
Yau Tsim Mong - Charming,Male,7988,16500,47.2
Yau Tsim Mong - Charming,Female,9210,15600,47.5
Yau Tsim Mong - Charming,Sub-Total,17198,16000,47.3
Yau Tsim Mong - Mong Kok West,Male,7555,13050,47.3
Yau Tsim Mong - Mong Kok West,Female,9331,10250,45.9
Yau Tsim Mong - Mong Kok West,Sub-Total,16886,11750,46.2
Yau Tsim Mong - Fu Pak,Male,9407,17000,42.4
Yau Tsim Mong - Fu Pak,Female,10828,12000,42.1
Yau Tsim Mong - Fu Pak,Sub-Total,20235,15000,42.3
Yau Tsim Mong - Olympic,Male,8117,52400,38.7
Yau Tsim Mong - Olympic,Female,10088,23750,39.2
Yau Tsim Mong - Olympic,Sub-Total,18205,36400,39
Yau Tsim Mong - Cherry,Male,6800,15500,42.1
Yau Tsim Mong - Cherry,Female,7309,11500,43.7
Yau Tsim Mong - Cherry,Sub-Total,14109,14000,43.1
Yau Tsim Mong - Tai Kok Tsui South,Male,7310,15500,47.7
