ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (September 2017)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
"4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*)."
			
Date,Hour,Central/Western,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Tseung Kwan O,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,Tap Mun,Causeway Bay,Central,Mong Kok
2017-09-01,01,4,4,4*,5,3,3,3,3,3*,2,3,3,2,4,5,6
,02,4,4,4*,5,3,3,3,2,3*,2,3,3,2,4,5,5
,03,4,4,4*,4,3,2,3,2,3*,2,2,3,2,4,4,5
,04,4,4,4*,4,3,2,3,2,3*,2,2,2,2,4,4,4
,05,4,4,4*,4,2,3,3,2,3*,2,2,2,2,4,3,4
,06,3,4,4*,4,3,3,3,2,3*,2,2,2,2,4,3,4
,07,3,4,4*,4,3,3,3,2,3*,2,2,2,2,4,3,4
,08,4,4,4*,4,3,3,4,2,4*,2,3,2,2,5,4,4
,09,4,4,4*,4,4,4,4,3,4*,3,3,3,3,5,4,4
,10,4,4,5*,4,4,4,4,3,4*,4,4,3,3,6,5,5
,11,5,5,5*,5,5,5,4,3,5*,5,4,3,4,6,5,5
,12,5,5,5*,5,6,5,4,6*,6*,6,5,4,4,7,6,6
,13,7,6*,6*,6,6,6,5,7*,7*,6,6,5,6,8,7,7
,14,8,7*,7*,7,8,8,6,8*,9*,8,8,7,7,9,8,7
,15,9,8*,8*,8,9,9,8,9,10+*,10,9,8,7,9,9,9*
,16,10,9,9*,10,10,10+,9,10,10+*,10+,8,8,6,10,10,10*
,17,9,9,,10,10,10+,10,10+,10+*,10+,7,7,6,10,9,10*
,18,8,9,9*,8,9,10,10,10,10+*,10+,6,6,5,9,9,9*
,19,6,8,7*,7,7,8,8,7,9*,10,5,5,4,8,8,8*
,20,6,7,6*,6,5,6,6,5,7*,8,4,5,3,7,6,6
,21,5,6,5,5,5,5,5,4,6*,5,4,4,3,6,6,6
,22,5,5,5,5,5,4,5,4,5*,4,4,4,3,6,6,6
,23,5,5,5,5,4,4,4,4,4*,3,3,4,3,6,6,6
,24,4,4,5,5,4,3,4,4,4*,3,3,3,3,5,5,6
,Daily Max,10,9,9,10,10,10+,10,10+,10+,10+,9,8,7,10,10,10
2017-09-02,01,4,4,5,5,3,3,4,3,4*,2,3,3,3,5,4,5
,02,3,4,5,5,3,3,3,3,4*,2,3,3,3,5,3,5
,03,3,4,4,4,3,3,3,3,3*,2,3,3,2,4,3,4
,04,4,4,4,4,3,3,3,2,3*,2,3,2,2,4,3,4
,05,4,4,4,4,3,3,3,2,3*,2,3,2,2,4,3,4
,06,4,4,4,4,3,2,3,2,3*,2,3,2,2,4,3,4
,07,4,4,4,4,3,3,3,2,3*,2,3,2,2,4,3,4
,08,4,4,4,4,3,3,3,3,3*,2,3,2,2,4,3,4
,09,3,4,4,3,3,3,3,3,3*,3,3,2,2,5,4,4
,10,3,4,4,3,4,3,3,3,3*,3,3,3,3,5,4,4
,11,3,4,4,4,4,4,4,3,3*,3,4,3,3,5,4,4
,12,4,4,4,4,5,4,4,5,4*,4,4,3,4,5,5,4
,13,5,4,4,4,5,5,4,6,6*,6,6,5,5,5,5,5
,14,6,5,5,5,6,6,5,8,8*,8,7,7,6,6,6,6
,15,8,5,6,6,7,7,6,9,9*,10,9,8,7,7,8,7
,16,9,6,6,8,9,9,6,10,10,10+,9,9,8,8,8,9
,17,9,6,6,9,9,9,6,9,10+,10+,10,9,8,9,8,10
,18,9,6,7,9,9,9,7,8,10,10,10,9,7,9,8,10
,19,9,7,7,8,8,8,7,6,8,8,9,9,6,10,8,9
,20,8,7,7,8,7,7,7,6,6,5,8,8,5,9,8,8
,21,6,7,7,6,6,6,6,5,5,3,7,6,4,8,7,7
,22,5,5,5,5,5,5,5,4,5,3,5,5,3,5,5,6
,23,5,5,4,4,4,5,4,4,4,3,4,4,3,5,5,5
,24,4,4,3,4,4,4,3,3,4,3,4,4,3,4,4,4
,Daily Max,9,7,7,9,9,9,7,10,10+,10+,10,9,8,10,8,10
2017-09-03,01,3,4,3,3,3,4,3,3,4,3,4,3,3,3,3,3
,02,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
,03,3,3,3,3,3,3,2,3,3,2,3,3,2,3,3,3
,04,3,3,3,3,3,3,3,2,3,2,3,3,2,3,3,3
,05,3,3,3,3,3,3,3,2,3,2,3,2,3,3,3,3
,06,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3
,07,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3
,08,3,3,3,3,3,3,3,3,3,2,3,3,3,4,3,3
,09,3,4,3,3,3,3,3,3,3,2,3,3,3,4,4,4
,10,3,4,4,3,3,3,3,3,4,3,3,3,4,4,4,4
,11,4,4,4,4,4,4,4,3,4,4,4,4,4,5,4,4
,12,5,5,5,4,5,5,4,5,6,5,5,4,5,6,5,5
,13,6,6,6,5,6,6,5,7,8,6,6,5,6,7,6,6
,14,8,7,7,7,7,7,7,9,9,6,8,6,6,8,7,7
,15,8,8,8,8,8,8,8,9,9,6,9,8,7,9,8,8
,16,8,9,9,8,8,8,9,9,9,7,10,8,8,9,8,9
,17,8,8,9,8,8,8,9,9,9,7,9,8,7,9,8,8
,18,7,8,8,8,8,7,8,8,8,6,9,8,5,8,7,8
,19,6,7,7,6,7,6,8,7,6,5,8,7,4,7,6,6
,20,5,6,6,5,5,5,6,6,5,4,7,6,3,6,5,5
,21,5,5,5,5,5,5,5,5,5,4,6,5,4,5,5,5
,22,4,5,5,4,4,4,5,4,4,4,5,4,4,5,4,5
,23,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4
,24,4,4,4,4,4,4,4,4,4,3,4,4,4,5,4,4
