ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (January 2017)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
"4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*)."
			
Date,Hour,Central/Western,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Tseung Kwan O,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,Tap Mun,Causeway Bay,Central,Mong Kok
2017-01-01,01,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,02,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,03,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
,04,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,3
,05,3,3,3,3,4,3,3,4,4,3,4,3,4,3,3,3
,06,3,3,3,3,3,3,3,4,4,3,4,3,4,3,3,3
,07,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,08,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,09,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,12,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3
,13,3,4,4,3,3,4,3,3,4,3,4,4,4,4,4,4
,14,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
,15,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4
,16,4,4,4,4,4*,4,4,4,5,4,4,4,5,5,4,5
,17,4,5,4,4,4*,4,5,4,4,4,4,4,5,5,4,5
,18,4,5,4,4,4,4,4*,4,4,4,4,4,5,5,4,5
,19,4,5,4,5,4,4,3*,4,4,4,4,4,5,5,4,5
,20,4,5,4,5,4,4,3*,4,4,3,4,4,5,5,4,5
,21,4,4,4,5,4,4,3*,4,4,3,4,4,4,5,4,4
,22,4,4,4,4,4,4,3*,4,4,3,4,4,4,5,4,4
,23,4,4,4,4,4,4,3*,4,4,3,4,4,3,5,4,4
,24,4,4,4,4,4,4,3*,4,4,3,3,4,3,5,4,4
,Daily Max,5,5,4,5,4,4,5,4,5,4,4,4,5,5,4,5
2017-01-02,01,4,4,4,4,4,3,3*,4,4,2,3,3,2,5,4,4
,02,4,4,4,4,4,3,3*,3,4,2,3,3,2,4,4,4
,03,4,4,4,4,4,3,3*,3,4,3,3,3,2,4,4,4
,04,4,4,4,4,3,3,3*,3,3,3,3,3,3,4,4,4
,05,4,4,4,4,3,3,4*,3,3,3,2,3,3,3,4,3
,06,3,4,3,3,3,3,4*,3,3,3,2,3,3,3,3,3
,07,3,4,3,3,3,3,3*,3,3,3,2,3,2,3,3,3
,08,3,3,3,3,3,3,3*,3,3,3,2,3,2,3,3,3
,09,3,3,3,3*,3,3,3,3,3,2,3,3,2,4,3,3
,10,3,4,3,3*,3,3,3,3,3,2,3,3,3,4,4,4
,11,4,4,4,4*,3,4,3,4,4,3,3,4,3,4,4,4
,12,4,4,4,4*,4,4,3*,4,4,3,4,4,4,4,4,4
,13,4,4,4,4*,4,4,3*,4,4,3,4,4,4,4,4,4
,14,4,4,4,4*,4,4,3*,5,4,4,5,4,5,5,4,4
,15,4,5,5,4*,5,4,3*,5,5,4,5,4,5,5,4,5
,16,4,5,5,5,5,5,5,5,5,4,5,4,6,5,5,5
,17,5,5,5,5,5,5,5,6,5,5,5,4,6,6,5,6
,18,5,5,5,5,5,5,5,6,5,5,4,4,6,7,6,6
,19,5,5,5,5,6,6,5,6,5,4,4,4,5,7,6,6
,20,5,5,5,5,6,6,5,6,6,4,4,4,5,7,6,6
,21,5,5,5,5,6,5,4,6,6,3,4,4,4,7,6,6
,22,5,5,5,5,5,5,4,5,6,3,4,4,3,6,6,6
,23,5,5,5,5*,5,4,4,5,6,3,4,4,3,6,6,5
,24,5,5,5,5*,5,4,4,5,6,3,4,4,3,6,5,5
,Daily Max,5,5,5,5,6,6,5,6,6,5,5,4,6,7,6,6
2017-01-03,01,5,5,5,5*,5,4,4,4,5,3,3,4,3,5,5,5
,02,5,4,4,5*,5*,4,3,4,5,4,3,4,3,5,4,5
,03,5,4,4,4*,5*,4,3,4,5,4,3,3,2,5,4,5
,04,4,4,4,4*,4*,4,3,3,4,4,3,3,3,4,3,5
,05,4,4,4,4*,4*,4,3,3,4,4,3,3,3,4,4,5
,06,4,4,4,4*,4*,4,3,3,4,4,3,3,3,4,4,5
,07,5,4,4,5*,4*,4,3,3,4,4,3,3,3,4,5,5
,08,4,4,4,5*,5*,4,4,4,4,4,3,3,3,4,4,5
,09,4,4,4,5*,5*,4,4,4,5,4,4,4,4,5,4,5
,10,4,4,4,4*,5*,4,4,4,5,4,4,4,4,4,4,4
,11,4,4,4,4*,5*,4,4,5,5,4,4,4,4,4,4,4
,12,4,4,4,4*,4*,4,4,5,5,4,5,4,4,4,4,4
,13,4,4,4,4*,4,4,4,5,5,4,4,4,4,4,4,4
,14,4,4,4,4*,4,4,4,5,5,4,4,4,4*,4,4,4
,15,4,4,4,4*,4,4,4,5,5,4,4,4,4*,4,4,4
,16,4,4,4,4*,5,4,3*,5,5,4,5,4,4,4,4,5
,17,4,4,4,4*,5,5,4*,5,5,4,5,4,4,5,4,5
,18,4,4,4,4*,5,5,4*,5,4,4,5,4,4,5,4,4
,19,4,4,4,4*,5,4,4*,4,4,4,4,4,4,4,4,4
,20,4,4,4,4*,4,4,4,4,4,4,4,4,4*,4,4,4
,21,3,4,3,4*,4,4,4,3,4,4,4,4,4*,4,4,4
,22,3,4,3,4*,4,4,3,3,4,4,4,3,4,4,4,4
,23,3,4,3,3*,3,4,3,3,4,3,4,3,4,4,4,4
,24,3,4,3,3*,3,4,4,3,4,3,4,3,4,4,4,4
,Daily Max,5,5,5,5,5,5,4,5,5,4,5,4,4,5,5,5
2017-01-04,01,4,4,4,3*,3,4,4,3,4,3,4,4,4,4,4,4
,02,4,4,4,4*,4,4,4,3,4,4,4,4,4,4,4,4
,03,4,4,4,4*,4,4,4,3,4,4,4,4,4,4,4,4
,04,4,4,4,4*,4,4,4,3,4,4,4,4,4,4,4,4
,05,4,4,4,4*,4,4,4,3,4,4,4,4,4,4,4,4
,06,4,4,3,4*,4,4,4,3,4,4,4,4,4,3,4,4
,07,3,4,3,4*,4,4,4,3,4,4,4,4,4,3,3,3
